Date,INVE-A.ST,INVE-B.ST
2021-09-07,189.43524169921875,189.6102752685547
2021-09-08,188.0450897216797,187.66697692871094
2021-09-09,187.95240783691406,187.66697692871094
2021-09-10,188.69383239746094,188.4073028564453
2021-09-13,185.72811889648438,185.53860473632812
2021-09-14,187.58169555664062,187.29684448242188
2021-09-15,186.19151306152344,185.95504760742188
2021-09-16,187.02561950683594,186.3251953125
2021-09-17,184.1989288330078,183.0771026611328
2021-09-20,179.1942596435547,178.32064819335938
2021-09-21,178.91624450683594,179.2830352783203
2021-09-22,179.51864624023438,179.5236358642578
2021-09-23,182.85507202148438,183.04010009765625
2021-09-24,180.21372985839844,180.1343994140625
2021-09-27,180.79759216308594,180.02334594726562
2021-09-28,175.38519287109375,174.56361389160156
2021-09-29,175.4963836669922,174.8412322998047
2021-09-30,176.3119659423828,175.0263214111328
2021-10-01,176.4602508544922,175.82215881347656
2021-10-04,174.01351928710938,172.80540466308594
2021-10-05,176.1451416015625,175.0263214111328
2021-10-06,172.80870056152344,171.65792846679688
2021-10-07,176.55291748046875,175.2484130859375
2021-10-08,174.99594116210938,173.67526245117188
2021-10-11,174.606689453125,173.26809692382812
2021-10-12,177.3870391845703,176.22930908203125
2021-10-13,178.68453979492188,178.19113159179688
2021-10-14,181.70587158203125,181.22634887695312
2021-10-15,182.48434448242188,182.24427795410156
2021-10-18,181.72439575195312,180.467529296875
2021-10-19,183.31849670410156,182.89202880859375
2021-10-20,183.0590057373047,182.05918884277344
2021-10-21,183.26287841796875,181.96664428710938
2021-10-22,184.4306182861328,184.66876220703125
2021-10-25,185.07936096191406,184.1690673828125
2021-10-26,186.33053588867188,185.90875244140625
2021-10-27,186.05250549316406,185.86248779296875
2021-10-28,185.72811889648438,185.6311492919922
2021-10-29,183.98577880859375,183.13262939453125
2021-11-01,186.84027099609375,185.95504760742188
2021-11-02,188.18411254882812,187.11175537109375
2021-11-03,190.77911376953125,190.21177673339844
2021-11-04,193.3740997314453,193.2192840576172
2021-11-05,195.5625457763672,194.47454833984375
2021-11-08,195.6556854248047,193.6376953125
2021-11-09,194.5381622314453,191.59207153320312
2021-11-10,195.09693908691406,192.66136169433594
2021-11-11,195.88848876953125,194.1490936279297
2021-11-12,207.66879272460938,203.58689880371094
2021-11-15,208.87942504882812,203.02903747558594
2021-11-16,209.15879821777344,202.1456756591797
2021-11-17,210.09005737304688,202.7035675048828
2021-11-18,208.22755432128906,200.98338317871094
2021-11-19,207.20318603515625,200.3789825439453
2021-11-22,206.92379760742188,199.9605712890625
2021-11-23,204.7819061279297,196.65963745117188
2021-11-24,204.03692626953125,196.05528259277344
2021-11-25,207.1100311279297,198.56582641601562
2021-11-26,201.1500244140625,190.94119262695312
2021-11-29,204.8750457763672,196.98509216308594
2021-11-30,202.82630920410156,195.2183837890625
2021-12-01,205.15443420410156,198.24037170410156
2021-12-02,206.5513153076172,197.82196044921875
2021-12-03,205.71316528320312,196.10174560546875
2021-12-06,206.73756408691406,198.28684997558594
2021-12-07,214.7462921142578,204.98165893554688
2021-12-08,213.6287841796875,203.07546997070312
2021-12-09,213.25628662109375,204.37725830078125
2021-12-10,212.60443115234375,203.3544464111328
2021-12-13,212.32504272460938,202.7035675048828
2021-12-14,209.99691772460938,200.1000518798828
2021-12-15,211.5800323486328,203.02903747558594
2021-12-16,212.13877868652344,202.09918212890625
2021-12-17,208.97254943847656,201.4947967529297
2021-12-20,207.20318603515625,198.7517852783203
2021-12-21,209.25192260742188,200.0535430908203
2021-12-22,209.62442016601562,200.7509002685547
2021-12-23,214.93255615234375,205.67904663085938
2021-12-24,214.93255615234375,205.67904663085938
2021-12-27,219.77505493164062,209.53785705566406
2021-12-28,221.54441833496094,211.58348083496094
2021-12-29,221.45130920410156,211.3975067138672
2021-12-30,222.19631958007812,211.7694549560547
2021-12-31,222.19631958007812,211.7694549560547
2022-01-03,223.22067260742188,214.46595764160156
2022-01-04,223.22067260742188,216.46510314941406
2022-01-05,220.3338165283203,212.0019073486328
2022-01-06,220.3338165283203,212.0019073486328
2022-01-07,217.35379028320312,209.6308135986328
2022-01-10,210.64877319335938,203.44744873046875
2022-01-11,210.64877319335938,203.21499633789062
2022-01-12,212.32504272460938,204.0983123779297
2022-01-13,209.62442016601562,201.54127502441406
2022-01-14,201.6156768798828,194.0096435546875
2022-01-17,202.5469207763672,195.59033203125
2022-01-18,196.02816772460938,189.1280059814453
2022-01-19,199.00816345214844,190.89468383789062
2022-01-20,202.82630920410156,193.40524291992188
2022-01-21,199.3806915283203,189.4534454345703
2022-01-24,189.5093994140625,180.64794921875
2022-01-25,191.8375701904297,182.99110412597656
2022-01-26,196.12130737304688,186.19903564453125
2022-01-27,193.32754516601562,184.49746704101562
2022-01-28,193.32754516601562,183.69776916503906
2022-01-31,195.74880981445312,186.29202270507812
2022-02-01,197.7975311279297,188.10519409179688
2022-02-02,201.98817443847656,191.35960388183594
2022-02-03,197.42503356933594,186.38499450683594
2022-02-04,195.5625457763672,184.3858642578125
2022-02-07,196.21444702148438,185.22271728515625
2022-02-08,194.81752014160156,184.70199584960938
2022-02-09,201.98817443847656,189.96485900878906
