Date,^FCHI,^GDAXI
2022-06-29,6031.47998046875,13003.349609375
2022-06-30,5922.85986328125,12783.76953125
2022-07-01,5931.06005859375,12813.0302734375
2022-07-04,5954.64990234375,12773.3798828125
2022-07-05,5794.9599609375,12401.2001953125
2022-07-06,5912.3798828125,12594.51953125
2022-07-07,6006.7001953125,12843.2197265625
2022-07-08,6033.1298828125,13015.23046875
2022-07-11,5996.2998046875,12832.4404296875
2022-07-12,6044.2001953125,12905.48046875
2022-07-13,6000.240234375,12756.3203125
2022-07-14,5915.41015625,12519.66015625
2022-07-15,6036.0,12864.7197265625
2022-07-18,6091.91015625,12959.8095703125
2022-07-19,6201.22021484375,13308.41015625
2022-07-20,6184.66015625,13281.98046875
2022-07-21,6201.10986328125,13246.6396484375
2022-07-22,6216.81982421875,13253.6796875
2022-07-25,6237.5498046875,13210.3203125
2022-07-26,6211.4501953125,13096.9296875
2022-07-27,6257.93994140625,13166.3798828125
2022-07-28,6339.2099609375,13282.1103515625
2022-07-29,6448.5,13484.0498046875
2022-08-01,6436.85986328125,13479.6298828125
2022-08-02,6409.7998046875,13449.2001953125
2022-08-03,6472.06005859375,13587.5595703125
2022-08-04,6513.39013671875,13662.6796875
2022-08-05,6472.35009765625,13573.9296875
2022-08-08,6524.43994140625,13687.6904296875
2022-08-09,6490.0,13534.9697265625
2022-08-10,6523.43994140625,13700.9296875
2022-08-11,6544.669921875,13694.509765625
2022-08-12,6553.85986328125,13795.849609375
2022-08-15,6569.9501953125,13816.6103515625
2022-08-16,6592.580078125,13910.1201171875
2022-08-17,6528.31982421875,13626.7099609375
2022-08-18,6557.39990234375,13697.41015625
2022-08-19,6495.830078125,13544.51953125
2022-08-22,6378.740234375,13230.5703125
2022-08-23,6362.02001953125,13194.23046875
2022-08-24,6386.759765625,13220.0595703125
2022-08-25,6381.56005859375,13271.9599609375
2022-08-26,6274.259765625,12971.4697265625
2022-08-29,6222.27978515625,12892.990234375
2022-08-30,6210.22021484375,12961.1396484375
2022-08-31,6125.10009765625,12834.9599609375
2022-09-01,6034.31005859375,12630.23046875
2022-09-02,6167.509765625,13050.26953125
2022-09-05,6093.22021484375,12760.7802734375
2022-09-06,6104.60986328125,12871.4404296875
2022-09-07,6105.919921875,12915.9697265625
2022-09-08,6125.89990234375,12904.3203125
2022-09-09,6212.330078125,13088.2099609375
2022-09-12,6333.58984375,13402.26953125
2022-09-13,6245.68994140625,13188.9501953125
2022-09-14,6222.41015625,13028.0
2022-09-15,6157.83984375,12956.66015625
2022-09-16,6077.2998046875,12741.259765625
2022-09-19,6061.58984375,12803.240234375
2022-09-20,5979.47021484375,12670.830078125
2022-09-21,6031.330078125,12767.150390625
2022-09-22,5918.5,12531.6298828125
2022-09-23,5783.41015625,12284.1904296875
2022-09-26,5769.39013671875,12227.919921875
2022-09-27,5753.81982421875,12139.6796875
2022-09-28,5765.009765625,12183.2802734375
2022-09-29,5676.8701171875,11975.5498046875
2022-09-30,5762.33984375,12114.3603515625
2022-10-03,5794.14990234375,12209.48046875
2022-10-04,6039.68994140625,12670.48046875
2022-10-05,5985.4599609375,12517.1796875
2022-10-06,5936.419921875,12470.7802734375
2022-10-07,5866.93994140625,12273.0
2022-10-10,5840.5498046875,12272.9404296875
2022-10-11,5833.2001953125,12220.25
2022-10-12,5818.47021484375,12172.259765625
2022-10-13,5879.18994140625,12355.580078125
2022-10-14,5931.919921875,12437.8095703125
2022-10-17,6040.66015625,12649.0302734375
2022-10-18,6067.0,12765.6103515625
2022-10-19,6040.72021484375,12741.41015625
2022-10-20,6086.89990234375,12767.41015625
2022-10-21,6035.39013671875,12730.900390625
2022-10-24,6131.35986328125,12931.4501953125
2022-10-25,6250.5498046875,13052.9599609375
2022-10-26,6276.31005859375,13195.8095703125
2022-10-27,6244.02978515625,13211.23046875
2022-10-28,6273.0498046875,13243.330078125
2022-10-31,6266.77001953125,13253.740234375
2022-11-01,6328.25,13338.740234375
2022-11-02,6276.8798828125,13256.740234375
2022-11-03,6243.27978515625,13130.1904296875
2022-11-04,6416.43994140625,13459.849609375
2022-11-07,6416.60986328125,13533.51953125
2022-11-08,6441.5,13688.75
