Date,VIXY,^VIX
2023-04-03,176.1999969482422,18.549999237060547
2023-04-04,179.39999389648438,19.0
2023-04-05,178.1999969482422,19.079999923706055
2023-04-06,175.0,18.399999618530273
2023-04-07,175.0,18.399999618530273
2023-04-10,173.1999969482422,18.969999313354492
2023-04-11,171.8000030517578,19.100000381469727
2023-04-12,172.0,19.09000015258789
2023-04-13,166.1999969482422,17.799999237060547
2023-04-14,163.60000610351562,17.06999969482422
2023-04-17,159.0,16.950000762939453
2023-04-18,157.60000610351562,16.829999923706055
2023-04-19,157.39999389648438,16.459999084472656
2023-04-20,160.8000030517578,17.170000076293945
2023-04-21,157.8000030517578,16.770000457763672
2023-04-24,157.39999389648438,16.889999389648438
2023-04-25,170.0,18.760000228881836
2023-04-26,165.60000610351562,18.84000015258789
2023-04-27,158.39999389648438,17.030000686645508
2023-04-28,151.60000610351562,15.779999732971191
2023-05-01,149.8000030517578,16.079999923706055
2023-05-02,156.60000610351562,17.780000686645508
2023-05-03,161.0,18.34000015258789
2023-05-04,169.0,20.09000015258789
2023-05-05,156.0,17.190000534057617
2023-05-08,153.39999389648438,16.979999542236328
2023-05-09,156.60000610351562,17.709999084472656
2023-05-10,152.0,16.940000534057617
2023-05-11,150.60000610351562,16.93000030517578
2023-05-12,150.39999389648438,17.030000686645508
2023-05-15,147.0,17.1200008392334
2023-05-16,150.8000030517578,17.989999771118164
2023-05-17,145.8000030517578,16.8700008392334
2023-05-18,140.0,16.049999237060547
2023-05-19,143.8000030517578,16.809999465942383
2023-05-22,144.1999969482422,17.209999084472656
2023-05-23,146.39999389648438,18.530000686645508
2023-05-24,152.60000610351562,20.030000686645508
2023-05-25,148.8000030517578,19.139999389648438
2023-05-26,143.0,17.950000762939453
2023-05-29,143.0,17.950000762939453
2023-05-30,139.1999969482422,17.459999084472656
2023-05-31,138.0,17.940000534057617
2023-06-01,130.39999389648438,15.649999618530273
2023-06-02,125.19999694824219,14.600000381469727
2023-06-05,122.5999984741211,14.729999542236328
2023-06-06,115.19999694824219,13.960000038146973
2023-06-07,116.0,13.9399995803833
2023-06-08,112.80000305175781,13.649999618530273
2023-06-09,114.0,13.829999923706055
2023-06-12,114.4000015258789,15.010000228881836
2023-06-13,113.80000305175781,14.609999656677246
2023-06-14,110.5999984741211,13.880000114440918
2023-06-15,113.80000305175781,14.5
2023-06-16,109.19999694824219,13.539999961853027
2023-06-19,109.19999694824219,13.539999961853027
2023-06-20,109.5999984741211,13.880000114440918
2023-06-21,107.19999694824219,13.199999809265137
2023-06-22,105.0,12.90999984741211
2023-06-23,106.23999786376953,13.4399995803833
2023-06-26,105.83999633789062,14.25
2023-06-27,103.23999786376953,13.739999771118164
2023-06-28,99.4000015258789,13.430000305175781
2023-06-29,101.68000030517578,13.539999961853027
